AVG,OBP,SLG,OPS
0.373,0.427,0.651,1.078
0.34,0.402,0.445,0.847
0.333,0.417,0.46,0.877
0.322,0.395,0.417,0.812
0.309,0.406,0.485,0.891
0.307,0.409,0.387,0.796
0.294,0.387,0.493,0.88
0.259,0.364,0.259,0.623
0.257,0.341,0.353,0.694
0.232,0.335,0.359,0.694
