BA,OBPct,AB,H,2B,3B,HR,SLG,OPS
0.259,0.358,"3,216",834,146,35,29,0.4188432836,0.7768432836
0.281,0.369,"2,557",718,162,26,40,0.500586625,0.869586625
0.279,0.372,"6,368","1,778",343,58,107,0.4814698492,0.8534698492
0.284,0.395,"2,862",813,164,29,39,0.4835779175,0.8785779175
0.298,0.403,"2,316",690,144,22,47,0.5319516408,0.9349516408
0.28,0.385,"2,144",601,129,27,29,0.4925373134,0.8775373134
0.296,0.389,"2,437",721,133,31,31,0.4940500616,0.8830500616
0.308,0.403,"3,795","1,169",272,45,66,0.5565217391,0.9595217391
0.254,0.364,"1,885",478,95,19,14,0.4143236074,0.7783236074
0.267,0.363,"1,220",326,60,13,9,0.4270491803,0.7900491803
0.241,0.339,108,26,6,1,6,0.6018518519,0.9408518519
0.259,0.356,"1,214",315,61,14,18,0.4538714992,0.8098714992
0.297,0.393,"2,719",807,154,24,38,0.4924604634,0.8854604634
0.281,0.376,"3,171",890,188,30,50,0.490696941,0.866696941
0.309,0.398,"2,463",762,163,33,22,0.5176613886,0.9156613886
0.299,0.388,"2,237",668,136,34,29,0.5176575771,0.9056575771
0.294,0.401,"1,972",579,122,26,31,0.5197768763,0.9207768763
0.295,0.395,"2,603",768,137,34,27,0.4809834806,0.8759834806
0.275,0.375,"2,698",742,153,30,33,0.4707190511,0.8457190511
0.296,0.378,"1,438",425,81,10,17,0.4763560501,0.8543560501
0.295,0.382,"2,029",598,125,35,19,0.5071463775,0.8891463775
0.289,0.388,"2,286",661,132,28,20,0.4763779528,0.8643779528
0.284,0.387,"1,932",549,84,18,32,0.465320911,0.852320911
0.283,0.376,"3,307",935,175,38,25,0.4532809193,0.8292809193
0.303,0.392,"2,820",854,178,28,37,0.5113475177,0.9033475177
0.279,0.389,"3,181",887,167,28,55,0.4794089909,0.8684089909
0.269,0.378,"2,058",553,110,11,37,0.4635568513,0.8415568513
0.296,0.384,"1,043",309,68,11,27,0.5618408437,0.9458408437
0.294,0.397,"1,849",543,106,20,27,0.4991887507,0.8961887507
0.296,0.401,"2,760",818,140,28,32,0.4746376812,0.8756376812
0.235,0.357,894,210,34,4,2,0.3333333333,0.6903333333
0.276,0.372,"4,843","1,339",280,29,93,0.4868882924,0.8588882924
0.285,0.38,"3,745","1,067",199,32,54,0.4744993324,0.8544993324
0.293,0.393,"6,029","1,765",322,37,64,0.4604412009,0.8534412009
0.291,0.391,"2,578",750,128,26,26,0.4608223429,0.8518223429
0.28,0.386,"4,381","1,226",224,29,50,0.4476146998,0.8336146998
0.301,0.4,"3,166",952,198,42,60,0.541377132,0.941377132
0.298,0.381,"4,751","1,415",280,52,76,0.5125236792,0.8935236792
0.286,0.374,"1,911",546,100,19,17,0.4557823129,0.8297823129
0.253,0.357,"4,150","1,052",177,21,41,0.3934939759,0.7504939759
0.295,0.387,"1,759",519,102,21,23,0.4991472428,0.8861472428
0.305,0.403,"1,799",549,101,15,28,0.5047248471,0.9077248471
0.247,0.341,"1,942",479,107,15,21,0.4232749743,0.7642749743
0.282,0.382,"6,778","1,912",354,71,59,0.4527884332,0.8347884332
0.228,0.33,"1,103",252,68,10,3,0.3898458749,0.7198458749
