BA,OBPct,AB,H,2B,3B,HR,SLG,OPS
0.308,0.397,"11,863","3,658",757,115,186,0.5277754362,0.9247754362
0.287,0.367,"10,681","3,064",596,96,104,0.4643759948,0.8313759948
0.298,0.388,"18,197","5,419",987,134,311,0.4967302303,0.8847302303
0.304,0.398,"13,566","4,127",795,97,285,0.526905499,0.924905499
0.28,0.378,"10,552","2,953",511,52,102,0.4301554208,0.8081554208
0.3,0.385,"12,705","3,817",690,96,207,0.4968909878,0.8818909878
0.288,0.371,"12,974","3,732",722,100,200,0.4837367042,0.8547367042
0.288,0.38,"10,461","3,009",599,103,144,0.486760348,0.866760348
0.275,0.371,"6,719","1,851",369,68,76,0.4609316863,0.8319316863
0.26,0.353,"7,543","1,961",342,53,69,0.4083255999,0.7613255999
0.287,0.385,"8,909","2,558",479,71,128,0.4760354697,0.8610354697
0.28,0.372,"8,683","2,428",440,77,90,0.4490383508,0.8210383508
0.284,0.378,"13,181","3,744",686,104,165,0.4618769441,0.8398769441
0.298,0.389,"9,638","2,869",558,71,133,0.490765719,0.879765719
0.284,0.371,"10,593","3,006",564,106,110,0.4618144057,0.8328144057
0.294,0.384,"10,698","3,150",609,87,172,0.4970087867,0.8810087867
0.3,0.389,"10,223","3,071",591,82,133,0.4921255991,0.8811255991
0.288,0.389,"9,881","2,850",528,58,111,0.4578483959,0.8468483959
0.277,0.368,"8,716","2,417",417,75,104,0.4465351078,0.8145351078
0.288,0.368,"10,580","3,045",577,91,113,0.4654064272,0.8334064272
0.292,0.372,"12,294","3,587",620,102,128,0.4591670734,0.8311670734
0.295,0.383,"11,216","3,306",599,93,141,0.4767296719,0.8597296719
0.279,0.367,"14,848","4,146",735,111,142,0.4389143319,0.8059143319
0.294,0.382,"13,942","4,101",856,132,191,0.5001434514,0.8821434514
0.295,0.394,"10,850","3,200",530,123,106,0.4657142857,0.8597142857
0.281,0.377,"6,820","1,918",327,54,76,0.4454545455,0.8224545455
0.274,0.373,"10,997","3,014",561,104,114,0.4459398018,0.8189398018
0.286,0.372,"10,101","2,891",536,95,143,0.4771804772,0.8491804772
0.288,0.374,"13,800","3,970",698,105,101,0.440942029,0.814942029
0.26,0.354,"7,455","1,937",341,52,60,0.4044265594,0.7584265594
0.278,0.369,"12,786","3,552",633,60,193,0.4512748318,0.8202748318
0.291,0.373,"14,243","4,142",792,95,203,0.4790423366,0.8520423366
0.293,0.385,"15,569","4,567",858,103,242,0.4855803199,0.8705803199
0.293,0.376,"11,910","3,495",612,103,131,0.4661628883,0.8421628883
0.294,0.383,"10,809","3,180",509,50,160,0.4614672958,0.8444672958
0.289,0.383,"9,636","2,784",523,95,124,0.4785180573,0.8615180573
0.292,0.383,"12,553","3,662",761,87,182,0.491754959,0.874754959
0.292,0.378,"10,438","3,049",540,104,82,0.4568882928,0.8348882928
0.29,0.375,"12,579","3,650",685,90,230,0.4936799428,0.8686799428
0.278,0.366,"8,774","2,438",408,77,113,0.4487121039,0.8147121039
0.282,0.382,"6,059","1,709",322,48,65,0.4550255818,0.8370255818
0.283,0.379,"9,332","2,642",479,79,125,0.4647449636,0.8437449636
0.287,0.375,"18,659","5,353",846,136,212,0.4448791468,0.8198791468
0.297,0.38,"8,231","2,444",480,66,141,0.506135342,0.886135342
